dataset	seed	status	complete	train_last	max_epoch	raw_best	raw_epoch	test_at_val	val_best	val_epoch	structure	cfg	run_dir
Large-LI	42	DONE	yes	239	240	0.39548	189	0.30939	0.32143	223	scale_fallback_classmix_proto_bound_resid	configs/AML-Large-LI/AML-Large-LI-ClassMixProtoBoundResid240Seed42.yaml	/e/yyk/FraudGT_multi6/classmixprotobound_largeli_seed42_full240_main/AML-Large-LI-ClassMixProtoBoundResid240Seed42-gpu0
Large-LI	43	DONE	yes	239	240	0.42268	237	0.30556	0.34737	225	scale_fallback_classmix_proto_bound_resid	configs/AML-Large-LI/AML-Large-LI-ClassMixProtoBoundResid240Seed43.yaml	/e/yyk/FraudGT_multi6/classmixprotobound_largeli_seed43_full240_main/AML-Large-LI-ClassMixProtoBoundResid240Seed43-gpu0
Large-LI	44	DONE	yes	239	240	0.42640	223	0.27979	0.31694	235	scale_fallback_classmix_proto_bound_resid	configs/AML-Large-LI/AML-Large-LI-ClassMixProtoBoundResid240Seed44.yaml	/e/yyk/FraudGT_multi6/classmixprotobound_largeli_seed44_full240_main/AML-Large-LI-ClassMixProtoBoundResid240Seed44-gpu0
mainline_matched3_dataset_summary
Small-HI	n=3/3	complete=3/3	raw_best_mean=0.80011	raw_best_std=0.00345
Small-LI	n=3/3	complete=3/3	raw_best_mean=0.50219	raw_best_std=0.02021
Medium-HI	n=3/3	complete=3/3	raw_best_mean=0.79855	raw_best_std=0.00736
Medium-LI	n=3/3	complete=3/3	raw_best_mean=0.53470	raw_best_std=0.01571
Large-HI	n=3/3	complete=3/3	raw_best_mean=0.76799	raw_best_std=0.01355
Large-LI	n=3/3	complete=3/3	raw_best_mean=0.41485	raw_best_std=0.01688
mainline_matched3_complete_summary	18/18
